track_name,artist_name,COMB,artist_pop,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
When You're Gone,Paradigm,When You're GoneParadigm,62,53,0.783,0.753,-5.003,1,11,0.325,0.0117,0,0.139,0.663,124.036,4,145161
That Bxtch,Taylor Watson,That BxtchTaylor Watson,29,47,0.645,0.681,-5.961,1,4,0.139,0.037,0,0.0783,0.458,163.87,4,142644
Long Road,HotBlock Jmoe,Long RoadHotBlock Jmoe,34,52,0.738,0.685,-8.113,0,10,0.409,0.135,0,0.4,0.663,162.039,4,204000
Without You,John De Sohn,Without YouJohn De Sohn,61,0,0.643,0.745,-5.554,0,5,0.0619,0.0449,0,0.0916,0.461,124.968,4,182613
Light Switch,Charlie Puth,Light SwitchCharlie Puth,83,79,0.69,0.626,-5.693,1,6,0.306,0.105,0.000335,0.0881,0.912,184.009,4,185681
I Wanna Know,Alex Alexander,I Wanna KnowAlex Alexander,46,52,0.772,0.754,-4.57,0,9,0.05,0.348,0.397,0.0784,0.88,112.043,4,149787
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)Sofía Reyes",72,82,0.792,0.895,-3.112,0,1,0.0589,0.165,0,0.0501,0.794,94.968,4,201526
credit union,Kinrose,credit unionKinrose,41,32,0.776,0.656,-8.921,0,4,0.13,0.329,0,0.119,0.649,148.95,4,183465
love nwantiti (ah ah ah),CKay,love nwantiti (ah ah ah)CKay,73,84,0.727,0.739,-3.805,1,8,0.0411,0.365,0.00137,0.161,0.533,93.005,4,145800
Bad Habits,Ed Sheeran,Bad HabitsEd Sheeran,90,22,0.808,0.897,-3.712,0,11,0.0348,0.0469,3.14E-05,0.364,0.591,126.026,4,231041
Leap of Faith,Alex Alexander,Leap of FaithAlex Alexander,46,51,0.557,0.802,-4.429,1,0,0.0541,0.00924,0.000708,0.569,0.778,169.893,4,191080
Ocean Eyes,Farux,Ocean EyesFarux,45,42,0.729,0.763,-7.677,1,6,0.0345,0.668,0.0264,0.147,0.113,125.989,4,137029
Chaa Chaa Chaa (feat. HoodCelebrityy),Girll Codee,Chaa Chaa Chaa (feat. HoodCelebrityy)Girll Codee,29,45,0.808,0.592,-6.382,1,2,0.415,0.431,0,0.426,0.628,139.925,4,185376
Late Night Talking,Harry Styles,Late Night TalkingHarry Styles,91,93,0.714,0.728,-4.595,1,10,0.0468,0.298,0,0.106,0.901,114.996,4,177955
Moi... Lolita,Monaldin,Moi... LolitaMonaldin,47,49,0.796,0.66,-6.695,0,4,0.0505,0.0531,2.73E-05,0.319,0.735,109.92,4,158312
Warning / Signs,Matvey Emerson,Warning / SignsMatvey Emerson,51,46,0.712,0.829,-8.167,0,0,0.03,0.0891,0.0279,0.168,0.541,121.976,4,155410
Serenity,Shab,SerenityShab,37,46,0.688,0.595,-8.094,0,8,0.0508,0.0515,2.70E-06,0.0853,0.312,117.979,4,202507
MAMIII,Becky G,MAMIIIBecky G,81,87,0.843,0.7,-3.563,0,4,0.0803,0.0934,0,0.14,0.899,93.991,4,226088
Running To You (feat. Caden),VINAI,Running To You (feat. Caden)VINAI,64,65,0.579,0.727,-5.149,0,11,0.0399,0.0321,0,0.714,0.246,124.09,4,183091
Good Morning,P.S.,Good MorningP.S.,39,50,0.732,0.511,-5.101,1,11,0.0413,0.15,8.92E-06,0.059,0.691,171.907,4,161423
MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name)Lil Nas X,81,4,0.61,0.508,-6.682,0,8,0.152,0.297,0,0.384,0.758,178.818,4,137876
Tainted Love,Thatsimo,Tainted LoveThatsimo,44,47,0.646,0.765,-7.586,0,6,0.0448,0.0437,0.000141,0.159,0.362,126.024,4,146667
Build a Bitch,Bella Poarch,Build a BitchBella Poarch,65,76,0.855,0.463,-7.454,1,3,0.0367,0.217,1.77E-05,0.347,0.866,102.931,4,122773
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)Amaarae,64,80,0.87,0.523,-8.052,0,1,0.0602,0.433,2.07E-05,0.113,0.319,110.02,4,204764
Can't Get You Out of My Head,loafers,Can't Get You Out of My Headloafers,48,52,0.642,0.61,-9.194,0,2,0.0992,0.16,6.89E-06,0.408,0.294,129.886,3,168000
THATS WHAT I WANT,Lil Nas X,THATS WHAT I WANTLil Nas X,81,88,0.737,0.846,-4.51,0,1,0.22,0.00614,0,0.0486,0.546,87.981,4,143901
We Know,JAM & Philly,We KnowJAM & Philly,21,39,0.871,0.819,-6.022,0,4,0.256,0.142,0,0.106,0.712,112.114,4,198982
Cold Heart - PNAU Remix,Elton John,Cold Heart - PNAU RemixElton John,82,73,0.795,0.8,-6.32,1,1,0.0309,0.0354,7.25E-05,0.0915,0.934,116.032,4,202735
Jiggle Jiggle,Duke & Jones,Jiggle JiggleDuke & Jones,64,81,0.864,0.412,-5.886,1,1,0.273,0.458,0.00087,0.124,0.654,99.992,4,97209
Lost,Frank Ocean,LostFrank Ocean,82,0,0.912,0.594,-4.894,0,10,0.226,0.0319,0.00122,0.123,0.514,123.07,4,234093
Would I Lie to You,MISERO,Would I Lie to YouMISERO,40,51,0.796,0.731,-7.725,0,7,0.0669,0.529,0.239,0.143,0.498,120.067,4,174000
Crazy,Alex D'Rosso,CrazyAlex D'Rosso,56,53,0.681,0.865,-4.542,0,11,0.198,0.282,0.000169,0.33,0.494,123.056,4,148293
Life Goes On,Oliver Tree,Life Goes OnOliver Tree,70,80,0.7,0.49,-5.187,1,0,0.076,0.186,0,0.117,0.569,79.982,4,161803
Dinero,Trinidad Cardona,DineroTrinidad Cardona,63,73,0.708,0.782,-4.687,1,2,0.0674,0.00772,0,0.107,0.484,119.997,4,160880
Pieces,Nippandab,PiecesNippandab,40,42,0.698,0.78,-6.251,1,6,0.0626,0.157,0.0325,0.309,0.203,122.076,4,177956
Pope Is a Rockstar,SALES,Pope Is a RockstarSALES,61,74,0.725,0.446,-8.958,0,4,0.0287,0.85,0.243,0.107,0.311,90.024,4,187333
Looking for Love,Asketa & Natan Chaim,Looking for LoveAsketa & Natan Chaim,42,0,0.748,0.894,-4.677,1,7,0.0998,0.311,2.90E-05,0.239,0.503,120.004,4,148000
edamame (feat. Rich Brian),bbno$,edamame (feat. Rich Brian)bbno$,72,77,0.815,0.848,-4.704,0,4,0.115,0.023,0.000162,0.0265,0.684,106.032,4,133707
I Hate U,SZA,I Hate USZA,82,79,0.535,0.388,-9.805,0,7,0.155,0.507,0,0.11,0.412,106.703,5,174000
She Wolf (Falling to Pieces),YES YES,She Wolf (Falling to Pieces)YES YES,54,0,0.592,0.719,-5.044,1,2,0.0452,0.00858,0,0.635,0.169,125.03,4,171028
Memories,Coopex,MemoriesCoopex,60,64,0.745,0.862,-4.18,1,8,0.116,0.335,0.000623,0.102,0.738,123.979,4,138453
Ameno Amapiano Remix (You Wanna Bamba),Goya Menor,Ameno Amapiano Remix (You Wanna Bamba)Goya Menor,52,68,0.807,0.898,-5.837,0,6,0.0393,0.188,0.000395,0.0824,0.743,112.998,4,227101
Say My Name,Why Not,Say My NameWhy Not,36,54,0.773,0.74,-5.052,0,5,0.0315,0.00779,2.48E-05,0.15,0.659,125.981,4,160026
Woman,Doja Cat,WomanDoja Cat,88,89,0.824,0.764,-4.175,0,5,0.0854,0.0888,0.00294,0.117,0.881,107.998,4,172627
Leave The Door Open,Bruno Mars,Leave The Door OpenBruno Mars,86,31,0.586,0.616,-7.964,1,5,0.0324,0.182,0,0.0927,0.719,148.088,4,242096
I AM WOMAN,Emmy Meli,I AM WOMANEmmy Meli,59,76,0.646,0.471,-9.247,1,10,0.157,0.122,0,0.125,0.455,170.084,4,232813
Paint It Black,Dame Dame,Paint It BlackDame Dame,48,56,0.69,0.741,-7.405,1,7,0.0363,0.0433,0.00429,0.0975,0.0774,125.985,4,146190
Vacation,Dirty Heads,VacationDirty Heads,65,67,0.736,0.751,-5.588,1,8,0.034,0.0381,0,0.105,0.839,150.064,4,209722
Free Falling Love,Lucas Estrada,Free Falling LoveLucas Estrada,63,58,0.771,0.932,-3.727,0,7,0.0424,0.311,0.000158,0.116,0.139,120.012,4,155000
Ocean Drive,Harddope,Ocean DriveHarddope,49,51,0.645,0.868,-6.861,0,8,0.0828,0.0661,0.00471,0.241,0.51,120.009,4,197000
Kiss Me More (feat. SZA),Doja Cat,Kiss Me More (feat. SZA)Doja Cat,88,82,0.762,0.701,-3.541,1,8,0.0286,0.235,0.000158,0.123,0.742,110.968,4,208867
Beggin',Måneskin,Beggin'Måneskin,78,86,0.714,0.8,-4.808,0,11,0.0504,0.127,0,0.359,0.589,134.002,4,211560
The Hills,Farux,The HillsFarux,45,48,0.656,0.778,-6.838,1,8,0.265,0.4,0,0.533,0.736,125.916,4,129717
Young Folks,Jungle Jonsson,Young FolksJungle Jonsson,40,48,0.75,0.731,-7.367,0,5,0.0379,0.068,3.63E-05,0.184,0.335,134.977,4,174222
good 4 u,Olivia Rodrigo,good 4 uOlivia Rodrigo,85,88,0.563,0.664,-5.044,1,9,0.154,0.335,0,0.0849,0.688,166.928,4,178147
Complicated,Nito-Onna,ComplicatedNito-Onna,61,52,0.724,0.692,-4.997,1,5,0.109,0.074,0,0.0937,0.419,134.088,4,152126
Jalebi Baby (Tesher x Jason Derulo),Tesher,Jalebi Baby (Tesher x Jason Derulo)Tesher,61,73,0.691,0.829,-7.179,1,0,0.0412,0.0289,0,0.254,0.866,93.059,4,169154
You Don't Know Me,Dame Dame,You Don't Know MeDame Dame,48,49,0.701,0.836,-6.521,1,9,0.275,0.0304,0.000143,0.635,0.373,124.953,4,157320
Talking to the Moon,Bruno Mars,Talking to the MoonBruno Mars,86,76,0.498,0.59,-4.721,0,1,0.032,0.511,0,0.107,0.0784,145.867,4,217867
Say It Right,MØRFI,Say It RightMØRFI,39,50,0.764,0.793,-6.506,0,5,0.0709,0.0132,0.00098,0.319,0.127,124.084,4,129677
Astronaut In The Ocean,Masked Wolf,Astronaut In The OceanMasked Wolf,68,79,0.778,0.695,-6.865,0,4,0.0913,0.175,0,0.15,0.472,149.996,4,132780
Creep,Naeleck,CreepNaeleck,61,65,0.615,0.829,-4.567,1,6,0.0421,0.0555,0.00156,0.426,0.0754,124.013,4,203226
Counting Stars,Farux,Counting StarsFarux,45,54,0.659,0.721,-6.877,1,7,0.264,0.501,0,0.109,0.454,124.791,4,144935
Buss It,Erica Banks,Buss ItErica Banks,54,0,0.918,0.434,-9.541,1,9,0.173,0.569,3.14E-06,0.123,0.75,109.997,4,188735
When You Were Young,Amero,When You Were YoungAmero,46,31,0.806,0.845,-4.753,1,11,0.19,0.0825,0,0.26,0.508,125.998,4,128095
Apologize,Farux,ApologizeFarux,45,48,0.677,0.71,-7.108,1,8,0.0552,0.532,0,0.337,0.325,126.109,4,129410
Beauty And A Beat,Glamii,Beauty And A BeatGlamii,38,36,0.746,0.866,-3.113,0,9,0.148,0.124,1.26E-05,0.596,0.519,128.054,4,138750
Why,Padé,WhyPadé,39,38,0.61,0.902,-4.351,0,11,0.0764,0.133,0.000333,0.119,0.478,186.049,3,154839
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,Better Days (NEIKED x Mae Muller x Polo G)NEIKED,68,83,0.717,0.671,-5.077,0,0,0.0337,0.0018,2.54E-06,0.0921,0.699,110.054,4,160657
The Motto,Tiësto,The MottoTiësto,82,87,0.754,0.763,-4.627,0,7,0.0435,0.0301,2.23E-05,0.0901,0.464,117.953,4,164819
Need to Know,Doja Cat,Need to KnowDoja Cat,88,85,0.664,0.609,-6.509,1,1,0.0707,0.304,0,0.0926,0.194,130.041,4,210560
Whatever You Like,DLAY,Whatever You LikeDLAY,34,49,0.687,0.679,-9.426,0,1,0.0432,0.109,0.000986,0.104,0.614,123.976,4,144677
MONEY,LISA,MONEYLISA,70,79,0.831,0.554,-9.998,0,1,0.218,0.161,6.12E-05,0.152,0.396,140.026,4,168228
Freaks,Surf Curse,FreaksSurf Curse,69,85,0.345,0.941,-9.918,1,9,0.0466,3.84E-05,0.633,0.0511,0.407,179.626,4,147062
Heart of Glass,Nito-Onna,Heart of GlassNito-Onna,61,54,0.75,0.838,-5.132,1,9,0.124,0.194,7.99E-06,0.313,0.397,123.89,4,144245
Blinding Lights,The Weeknd,Blinding LightsThe Weeknd,93,90,0.514,0.73,-5.934,1,1,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,4,200040
Thot Shit,Megan Thee Stallion,Thot ShitMegan Thee Stallion,82,72,0.95,0.693,-3.424,1,9,0.0898,0.0133,0,0.173,0.891,130.02,4,184635
Mr. Saxobeat,Nito-Onna,Mr. SaxobeatNito-Onna,61,43,0.696,0.899,-5.812,0,6,0.144,0.131,0.00141,0.114,0.517,123.901,4,159927
Moves Like Jagger,Timemachine,Moves Like JaggerTimemachine,35,46,0.552,0.831,-7.228,0,6,0.194,0.0905,2.60E-05,0.44,0.733,127.851,4,199687
Pumped Up Kicks,Madism,Pumped Up KicksMadism,66,75,0.669,0.687,-4.753,1,0,0.043,0.152,1.60E-05,0.308,0.386,123.903,4,145161
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion)Maroon 5,85,82,0.713,0.676,-5.483,1,10,0.027,0.0377,0,0.154,0.721,99.048,4,227395
RAPSTAR,Polo G,RAPSTARPolo G,83,49,0.789,0.536,-6.862,1,6,0.242,0.41,0,0.129,0.437,81.039,4,165926
Lies,Dame Dame,LiesDame Dame,48,37,0.823,0.771,-6.055,0,9,0.0365,0.627,0.00101,0.271,0.658,122.015,4,156885
Ready 4 Luv - TMLH Summer Mix,CAZZETTE,Ready 4 Luv - TMLH Summer MixCAZZETTE,50,55,0.679,0.869,-4.701,0,5,0.138,0.00969,1.32E-05,0.278,0.41,125.09,4,170040
Ain't Shit,Doja Cat,Ain't ShitDoja Cat,88,81,0.855,0.488,-4.601,1,3,0.208,0.506,0,0.347,0.619,124.097,4,174253
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,Wellerman - Sea Shanty / 220 KID x Billen Ted RemixNathan Evans,66,77,0.722,0.893,-3.255,0,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,4,116750
So Pretty,Reyanna Maria,So PrettyReyanna Maria,51,66,0.799,0.543,-6.094,0,10,0.24,0.0512,0.0425,0.134,0.25,187.906,4,85742
Todo De Ti,Rauw Alejandro,Todo De TiRauw Alejandro,89,82,0.78,0.718,-3.605,0,3,0.0506,0.31,0.000163,0.0932,0.342,127.949,4,199604
Write This Down (Instrumental),SoulChef,Write This Down (Instrumental)SoulChef,55,1,0.826,0.738,-4.658,0,10,0.0444,0.00355,0.939,0.0633,0.781,93.005,4,188421
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Peaches (feat. Daniel Caesar & Giveon)Justin Bieber,90,86,0.677,0.696,-6.181,1,0,0.119,0.321,0,0.42,0.464,90.03,4,198082
Slow Down,Coopex,Slow DownCoopex,60,0,0.715,0.72,-3.906,1,9,0.193,0.134,0,0.366,0.41,128.048,4,138779
What If,HOURS,What IfHOURS,35,0,0.609,0.777,-5.879,1,6,0.0353,0.00162,1.28E-06,0.073,0.349,126.001,4,154286
Running Away,VANO 3000,Running AwayVANO 3000,55,72,0.58,0.696,-10.91,1,7,0.0408,0.66,0.852,0.145,0.721,93.688,4,111787
Aesthetic,Xilo,AestheticXilo,39,2,0.714,0.594,-10.63,1,0,0.43,0.965,0.255,0.129,0.45,169.837,4,158436
Levitating (feat. DaBaby),Dua Lipa,Levitating (feat. DaBaby)Dua Lipa,88,85,0.702,0.825,-3.787,0,6,0.0601,0.00883,0,0.0674,0.915,102.977,4,203064
Work from Home,Coopex,Work from HomeCoopex,60,54,0.845,0.669,-7.886,1,8,0.0658,0.181,0.00347,0.0897,0.86,125.014,4,151680
Bundles (feat. Taylor Girlz),Kayla Nicole,Bundles (feat. Taylor Girlz)Kayla Nicole,54,67,0.939,0.682,-5.931,1,11,0.306,0.00152,0,0.0552,0.584,130.022,4,154806
Sweater Weather,The Neighbourhood,Sweater WeatherThe Neighbourhood,83,90,0.612,0.807,-2.81,1,10,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,240400
As It Was,Michael Shynes,As It WasMichael Shynes,52,46,0.595,0.812,-5.623,1,9,0.0481,0.00321,1.38E-06,0.397,0.483,104.98,4,124571
Follow Me,Senhit,Follow MeSenhit,44,60,0.707,0.867,-4.355,0,6,0.05,0.00453,0.00135,0.123,0.485,122.014,4,158247
Calling My Phone,Lil Tjay,Calling My PhoneLil Tjay,79,15,0.907,0.393,-7.636,0,4,0.0539,0.451,1.35E-06,0.135,0.202,104.949,4,205458
Wicked Game,YES YES,Wicked GameYES YES,54,55,0.755,0.835,-6.727,1,9,0.0537,0.0202,0.000999,0.145,0.471,125.005,4,143040
You Right,Doja Cat,You RightDoja Cat,88,84,0.828,0.621,-6.414,1,8,0.0565,0.0164,0.00233,0.0845,0.436,128.986,4,186173
Whoopty,CJ,WhooptyCJ,63,74,0.719,0.648,-7.6,0,3,0.125,0.2,0,0.127,0.66,140.201,4,123263
Electric Love,BØRNS,Electric LoveBØRNS,67,82,0.611,0.797,-7.627,0,6,0.0533,0.00543,0.00137,0.26,0.518,120.041,4,218107
When Hello Means Goodbye,Alex Alexander,When Hello Means GoodbyeAlex Alexander,46,44,0.741,0.475,-7.665,1,2,0.205,0.0214,0,0.351,0.597,166.016,4,158160
"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",Bee Gees,"More Than A Woman - From ""Saturday Night Fever"" SoundtrackBee Gees",75,76,0.601,0.703,-6.24,1,7,0.0379,0.175,8.40E-05,0.571,0.673,106.164,4,196213
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-EditRiton,68,83,0.824,0.862,-3.424,1,2,0.126,0.0076,0.000132,0.303,0.801,122.98,4,169153
Hawái,Maluma,HawáiMaluma,83,77,0.783,0.727,-3.454,0,6,0.389,0.185,2.46E-05,0.0626,0.558,180.067,4,199112
Mood (feat. iann dior),24kGoldn,Mood (feat. iann dior)24kGoldn,74,18,0.7,0.722,-3.558,0,7,0.0369,0.221,0,0.272,0.756,90.989,4,140526
Paid,Astelle,PaidAstelle,32,39,0.861,0.631,-10.286,1,8,0.23,0.0188,0.000283,0.0954,0.675,117.993,4,180923
Lemonade,Internet Money,LemonadeInternet Money,72,76,0.799,0.66,-6.153,0,1,0.079,0.256,0,0.111,0.471,140.04,4,195429
K Boy Bye,Astelle,K Boy ByeAstelle,32,39,0.547,0.865,-5.058,0,7,0.0483,0.0141,0,0.245,0.638,159.87,4,166354
Up,Cardi B,UpCardi B,81,70,0.868,0.795,-6.044,1,11,0.269,0.0012,0.0193,0.0461,0.819,166,4,156945
Just The Two of Us,Kauai45,Just The Two of UsKauai45,50,67,0.592,0.214,-13.468,1,1,0.115,0.936,1.62E-05,0.253,0.422,81.672,4,117037
Play With Me,Ana Shine,Play With MeAna Shine,39,48,0.714,0.666,-6.012,1,6,0.0756,0.223,0,0.102,0.486,95.065,4,178261
Best Friend (feat. Doja Cat),Saweetie,Best Friend (feat. Doja Cat)Saweetie,73,45,0.84,0.766,-4.12,1,4,0.136,0.00302,3.61E-06,0.0684,0.402,94.018,4,155884
Cupid's Chokehold / Breakfast in America,Gym Class Heroes,Cupid's Chokehold / Breakfast in AmericaGym Class Heroes,68,77,0.72,0.744,-6.938,0,1,0.12,0.237,0,0.255,0.619,78.953,4,243773
Forever,Nadia Gattas,ForeverNadia Gattas,46,51,0.75,0.879,-4.88,0,4,0.0427,0.0233,0,0.193,0.333,124.038,4,181308
The Business,Tiësto,The BusinessTiësto,82,83,0.798,0.62,-7.079,0,8,0.232,0.414,0.0192,0.112,0.235,120.031,4,164000
telepatía,Kali Uchis,telepatíaKali Uchis,78,82,0.653,0.524,-9.016,0,11,0.0502,0.112,0,0.203,0.553,83.97,4,160191
"Gravity (feat. Tyler, The Creator)",Brent Faiyaz,"Gravity (feat. Tyler, The Creator)Brent Faiyaz",80,72,0.539,0.615,-8.746,0,1,0.252,0.173,0.0056,0.144,0.493,163.924,4,214693
motive (with Doja Cat),Ariana Grande,motive (with Doja Cat)Ariana Grande,87,57,0.789,0.742,-5.664,0,10,0.0652,0.0681,0,0.166,0.661,116.965,4,167990
Feel Your Love,Yusuf Alev,Feel Your LoveYusuf Alev,46,43,0.68,0.778,-6.294,1,6,0.0433,0.0705,0,0.31,0.511,124.981,4,172714
Lost on You,sad girls,Lost on Yousad girls,48,53,0.599,0.692,-4.43,0,1,0.0739,0.124,0,0.375,0.307,121.796,4,144349
Good Days,SZA,Good DaysSZA,82,81,0.436,0.655,-8.37,0,1,0.0583,0.499,8.10E-06,0.688,0.412,121.002,4,279204
What You Know Bout Love,Pop Smoke,What You Know Bout LovePop Smoke,83,81,0.709,0.548,-8.493,1,10,0.353,0.65,1.59E-06,0.133,0.543,83.995,4,160000
Rude Boy,YES YES,Rude BoyYES YES,54,50,0.739,0.734,-6.062,1,6,0.259,0.0242,0,0.0921,0.471,101.995,4,174858
WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion)Cardi B,81,80,0.935,0.454,-7.509,1,1,0.375,0.0194,0,0.0824,0.357,133.073,4,187541
Savage Love (Laxed - Siren Beat),Jawsh 685,Savage Love (Laxed - Siren Beat)Jawsh 685,63,77,0.767,0.481,-8.52,0,0,0.0803,0.234,0,0.269,0.761,150.076,4,171375
dirty laundry,blackbear,dirty laundryblackbear,80,65,0.766,0.64,-8.899,1,0,0.0345,0.051,0,0.237,0.67,100.044,4,165600
HOLIDAY,Lil Nas X,HOLIDAYLil Nas X,81,73,0.81,0.511,-6.924,0,5,0.164,0.12,0,0.0832,0.837,151.947,4,154998
WITHOUT YOU,The Kid LAROI,WITHOUT YOUThe Kid LAROI,83,80,0.662,0.413,-7.357,1,0,0.0299,0.213,0,0.134,0.467,93.005,4,161385
Fly,Alex D'Rosso,FlyAlex D'Rosso,56,53,0.676,0.842,-5.98,1,8,0.239,0.0578,0.00137,0.209,0.388,140.142,4,134857
ROCKSTAR (feat. Roddy Ricch),DaBaby,ROCKSTAR (feat. Roddy Ricch)DaBaby,82,80,0.746,0.69,-7.956,1,11,0.164,0.247,0,0.101,0.497,89.977,4,181733
34+35,Ariana Grande,34+35Ariana Grande,87,80,0.83,0.585,-6.476,1,0,0.094,0.237,0,0.248,0.485,109.978,4,173711
Rover (feat. DTG),S1mba,Rover (feat. DTG)S1mba,64,78,0.613,0.624,-6.66,0,11,0.206,0.496,0,0.283,0.803,62.948,5,167917
Put Your Records On,Ritt Momney,Put Your Records OnRitt Momney,60,1,0.399,0.492,-10.777,0,6,0.0538,0.058,0.00101,0.11,0.159,91.066,4,210463
Mood Swings (feat. Lil Tjay),Pop Smoke,Mood Swings (feat. Lil Tjay)Pop Smoke,83,78,0.48,0.602,-6.335,0,10,0.368,0.487,0,0.0848,0.269,179.798,4,213333
Therefore I Am,Billie Eilish,Therefore I AmBillie Eilish,88,75,0.889,0.34,-7.773,0,11,0.0697,0.218,0.13,0.055,0.716,94.009,4,174321
Wild & Free,Nander,Wild & FreeNander,37,39,0.474,0.722,-6.209,1,2,0.0355,0.0604,0,0.584,0.274,155.941,4,149231
Glad You Came,Braaheim,Glad You CameBraaheim,59,48,0.732,0.919,-4.634,0,6,0.115,0.0271,0.000866,0.375,0.136,125.997,4,190879
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,For The Night (feat. Lil Baby & DaBaby)Pop Smoke,83,80,0.823,0.586,-6.606,0,6,0.2,0.114,0,0.193,0.347,125.971,4,190476
Backyard Boy,Claire Rosinkranz,Backyard BoyClaire Rosinkranz,63,0,0.819,0.642,-7.037,1,5,0.189,0.336,0,0.0735,0.452,138.026,4,129241
TKN (feat. Travis Scott),ROSALÍA,TKN (feat. Travis Scott)ROSALÍA,83,72,0.776,0.509,-6.266,0,0,0.467,0.192,1.49E-06,0.115,0.485,94.634,4,129371
Say It Right,Coopex,Say It RightCoopex,60,60,0.712,0.816,-6.56,0,5,0.0447,0.152,0.0519,0.24,0.449,125.976,4,128095
Without You,Baby Bluu,Without YouBaby Bluu,31,49,0.625,0.698,-5.804,1,0,0.146,0.0107,0,0.156,0.204,120.119,4,132625
Play Date,Melanie Martinez,Play DateMelanie Martinez,78,78,0.68,0.729,-5.077,1,5,0.0475,0.612,0,0.224,0.446,123.97,4,179867
Freak,Doja Cat,FreakDoja Cat,88,72,0.688,0.716,-5.702,1,7,0.0385,0.0969,0,0.0989,0.373,116.912,3,284480
Falling Down,Andrew Nagy,Falling DownAndrew Nagy,32,38,0.574,0.852,-9.051,1,5,0.0438,0.032,0.0705,0.136,0.0363,123.005,4,165854
Wait a Minute!,WILLOW,Wait a Minute!WILLOW,76,86,0.764,0.705,-5.279,0,3,0.0278,0.0371,1.94E-05,0.0943,0.672,101.003,4,196520
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,Banana (feat. Shaggy) - DJ FLe - Minisiren RemixConkarah,53,65,0.824,0.854,-5.312,1,8,0.177,0.016,4.95E-05,0.117,0.896,95.114,4,210329
Over You,Myrrhe,Over YouMyrrhe,26,37,0.863,0.325,-7.864,1,0,0.341,0.667,1.71E-05,0.1,0.537,98.948,4,126314
FLIP THE SWITCH (feat. Drake),Quavo,FLIP THE SWITCH (feat. Drake)Quavo,79,67,0.853,0.637,-5.924,0,3,0.331,0.129,0,0.267,0.496,86.048,4,156195
The Boss,Coopex,The BossCoopex,60,47,0.734,0.789,-5.328,1,11,0.243,0.0809,0.000115,0.215,0.258,125.992,4,133810
Party Girl,StaySolidRocky,Party GirlStaySolidRocky,59,71,0.728,0.431,-9.966,0,6,0.0622,0.749,0,0.0996,0.629,130.022,4,147800
Love Me Again,CPX,Love Me AgainCPX,52,46,0.798,0.824,-5.642,0,0,0.413,0.206,0.000308,0.436,0.242,125,4,134400
Renee,SALES,ReneeSALES,61,65,0.924,0.386,-8.183,1,9,0.0548,0.755,0.00253,0.118,0.424,108.957,4,179125
Don't Rush (feat. Headie One),Young T & Bugsey,Don't Rush (feat. Headie One)Young T & Bugsey,60,63,0.961,0.461,-8.684,1,9,0.27,0.202,0.00402,0.162,0.324,108.028,4,207640
Right Here Waiting,Boostereo,Right Here WaitingBoostereo,52,0,0.639,0.704,-7.332,1,10,0.0352,0.0646,0,0.445,0.285,115.052,4,180522
THE SCOTTS,THE SCOTTS,THE SCOTTSTHE SCOTTS,58,76,0.716,0.537,-7.648,0,0,0.0514,0.233,0,0.157,0.28,129.979,4,165978
Cool for the Summer,Alex D'Rosso,Cool for the SummerAlex D'Rosso,56,49,0.805,0.871,-5.716,1,6,0.286,0.177,7.50E-06,0.266,0.443,136.01,4,171696
Kiss Me,Lucas Estrada,Kiss MeLucas Estrada,63,47,0.588,0.685,-8.08,1,8,0.0624,0.374,0.000155,0.581,0.122,107.938,4,146669
Red Flag,Pia Baris,Red FlagPia Baris,18,31,0.715,0.706,-5.804,0,4,0.383,0.326,0.000231,0.525,0.348,126.069,4,137431
One too Many Times,JRL,One too Many TimesJRL,44,47,0.721,0.778,-6.53,0,8,0.0459,0.00262,7.29E-05,0.111,0.449,122.023,4,141636
Boys Ain't Shit,SAYGRACE,Boys Ain't ShitSAYGRACE,58,64,0.826,0.615,-4.729,0,1,0.137,0.435,0.00631,0.334,0.841,102.999,4,175884
